"Category","Name","Description","Value ","Default Value"
Sketcher,2d_palette_path,Sets the default directory for the user sketcher shape library. Use the full path name to avoid problems.,,
Without category,accessory_window_above,Yes - Displays and keep the accessory window above the active window. No - Does not keep the accessory window above the active window.,"yes, no",no
Without category,accessory_window_display,Docked - Displays the accessory window embedded in the active window. Undocked - Displays the accessory window as a standalone window.,"undocked, docked",docked
Environment,accuracy_lower_bound,Enter an accuracy value to override the default lower limit.  The minimum value for relative accuracy is 1E-06.,,0.0001
Data Exchange,acis_export_params,"For ACIS interface allows to export object, feature and entity level parameters.","yes, no",no
Data Exchange,acis_export_units,Allows selection of model units for ACIS export.,"micron, mm, default, in, ft, m, cm",default
Without category,acis_out_version,Allows the user to choose ACIS export version.,"4, 5",5
Printing & Plotting,acrobat_reader,Sets the Adobe Acrobat Reader command path. This value will be used to launch the reader after exporting a PDF document.,,
Application Programming Interfaces,add_java_class_path,"Prepends the option value on the java environment variable, CLASSPATH, used to find classes in J-Link programs. To specify multiple search paths in the same line, delimit them using ':' on UNIX, and ';' on Windows NT.",,
Layers,add_lower_level_comps_to_layer,"Setting this option to yes will check off the Favor Current Layer option, which allows lower level components to be added to top level layers.","yes, no",no
Assembly,add_offset_to_constraint_comp,Adds an offset dimensions to constraints that were created without an offset during the dragging of a component.,"yes, no",no
Weld,add_weld_mp,Yes - System includes welds when calculating mass properties and approximates lightweight weld mass properties. No - System excludes welds when calculating mass properties.,"yes, no",no
Assembly,advanced_intersection,Control the appearance of the intersection tool and scope of available functionalities.,"yes, no",no
Style Feature,advanced_style_surface_edit,Use advanced options by default for Surface Edit in Style.,"yes, no",no
User Interface,ae_propagate_detail_dependency,"Sets the AE detail dependency for AE's that are locally propagated. If set to independent, the AE's parameter call outs will update to other propagated AEs parameters.","dependent, independent",dependent
Piping,aec_dwg_anno_attrpar_spec_file,Specifies the aec drawing annotation attribute/parameter specification file name.,,aec_dwg_anno_attrparam_spec.ptd
Piping,aec_object_type_file,Specifies the aec object type file name.,,aec_object_type.ptd
Without category,aec_parameter_file,Specifies the file name of the user defined piping parameter codes.,,
User Interface,af_copy_references_flag,Toggle display of Copy References column in Annotation Feature definition dialog,"yes, no",no
Data Exchange,afx_enabled,Loads EFX application.,"yes, no",no
Electromechanical,align_cable_bundles,Align NEWLY CREATED bundles where they meet or branch out,"yes, no",yes
Features,allow_anatomic_features,"Allow the creation of pre-Pro/ENGINEER 2000i geometry features including ear, neck, lip, slot, flange, shaft, local push, radius dome and section dome.","yes, no",no
Electromechanical,allow_bundle_flat_cables,Allow to create a bundle over a group of flat packing cables.,"yes, no",no
User Interface,allow_confirm_window,Display a confirmation window when exiting Creo Parametric. This enables you to use the mouse to confirm/cancel exiting Creo Parametric.,"yes, no",yes
Without category,allow_delete_many_in_drawings,Make the Delete Many command available in drawing mode. The Delete Many command is not supported by undo but can improve performance when deleting a significant number of items.,"yes, no",no
Data Exchange,allow_flat_to_screen_note,Allow creation of flat to screen notes when option is set to true,"yes, no",no
System,allow_float_opt_checkout,Yes - Allows checkout failure for floating modules.,"yes, no",no
Features,allow_fully_dependent_copy,Enables the usage of advanced copy/paste functionality to  control degree of dependency on the pasted object.,"yes, no",yes
Electromechanical,allow_harn_mfg_assy_retrieval,Allow to retrieve a harness mfg assembly directly.,"yes, no",no
Data Management,allow_import_file_extension,Allow additonal files with extensions to be shown in the import dialog,,
Manufacturing,allow_mfg_in_assem_mode,"Allows a manufacturing model to be opened in assembly mode from the file open dialog.  Use ""Open In Assembly Mode"" option in ""File Open"" dialog.","yes, no",no
Drawing,allow_move_attach_in_dtl_move,Yes - Move and Move Attach commands in drawing mode act together. No - Move and Move Attach commands in drawing mode do not act together.,"yes, no",yes
Drawing,allow_move_view_with_move,Disallow the movement of drawing views with the mouse.,"yes, no",no
Assembly,allow_package_children,Sets what type of children packaged components can have. ALL - Features and components can be a children of packaged component. FEAT - Only features can be children of packaged components. NONE - Packaged components cannot have children.,"all, feat, none",all
Miscellaneous,allow_ply_cross_section,Yes - Enables Pro/COMPOSITE to create a cross-section of composite plys.,"yes, no",yes
Assembly,allow_redo_intersections,Yes - Displays the ReIntersect command in the ASSY FEAT menu.,"yes, no",no
Reference Control,allow_ref_scope_change,"No - Displays the message ""Reference scope changes are prohibited by the configuration file settings"" when the Ref Scope user interface is changed.","yes, no",yes
Drawing,allow_refs_to_geom_reps_in_drws,"Yes - Allows you to create drawing references to geometry representations (includes dimensions, notes, and leaders). These references may become invalid if the referenced geometry changes resulting in geometry representations not updating in drawings.","yes, no",no
Dimensions & Tolerances,allow_rfs_default_gtols_always,Yes - Enables RFS/Default gtols to be created even when not permitted by ANSI standard.,"yes, no",no
Assembly,allow_save_as_instance,Allows the option to save a copy of the active model as a family table instance.,"yes, no",no
Assembly,allow_save_failed_model,Yes - Failed models can be saved. No - Failed models cannot be saved. Prompt - Let the user decide whether failed models can be saved.,"yes, no, prompt",prompt
Casting & Mold Design,allow_shrink_dim_before,Allow calculation before relations.,"yes, no",no
Model Display,allow_solid_perspective_hlr,Yes - Allows a solid to be displayed with hidden lines while in perspective.,"yes, no",yes
Features,allow_udf_style_cosm_threads,Defines the Cosmetic Thread user interface. Yes - Creates a Cosmetic Thread as a UDF. No - Creates a Cosmetic Thread as a Cosmetic Thread feature.,"yes, no",no
Assembly,allow_update_part_simp_rep_data,Allow updating part Simplified Rep data in session automatically when switching from one Simp Rep to another.  Yes - Allow updating part simplified rep data. No - Do not update part simplified rep data. Prompt - Prompt the user if the current simplified rep should be updated.,"yes, no, prompt",yes
Without category,allow_workpiece_silhouette,Determines if the workpiece is allowed for Silhouette Mach Window creation. NO - only reference part is allowed; YES - both workpiece and reference part are allowed; AUTO - only workpiece is allowed.,"yes, no, auto",no
File Storage & Retrieval,analysis_crt_tmp_file_on_regen,Determines whether regeneration of analysis features creates/updates tmp files,"yes, no",yes
